time,BTC,ETH,BNB,SOL,ADA,DOT,BUSD
0,13:59:52,23432.5,1609.25,,316.82,24.36,0.3909,6.586
0,13:59:54,23433.4,1609.25,,316.74,24.36,0.3909,6.586
0,13:59:57,23433.07,1609.25,,316.75,24.36,0.3909,6.587
0,13:59:59,23432.98,1609.25,,316.82,24.36,0.3909,6.586
0,14:00:01,23432.98,1609.26,,316.74,24.35,0.3909,6.587
0,14:00:04,23432.98,1609.26,,316.82,24.35,0.3908,6.587
0,14:00:06,23432.98,1609.25,,316.82,24.36,0.3909,6.587
0,14:00:08,23434.19,1609.24,,316.75,24.35,0.3909,6.587
0,14:00:11,23433.18,1609.24,,316.82,24.35,0.3908,6.587
0,14:00:13,23435.64,1609.25,,316.74,24.35,0.3908,6.587
0,14:00:15,23434.19,1609.27,,316.74,24.35,0.3908,6.587
0,14:00:18,23433.18,1609.27,,316.74,24.35,0.3908,6.587
0,14:00:20,23434.19,1609.49,,316.74,24.36,0.3908,6.587
0,14:00:22,23435.24,1609.27,,316.74,24.35,0.3908,6.588
0,14:00:25,23435.24,1609.49,,316.74,24.36,0.3908,6.588
0,14:00:27,23435.24,1609.59,,316.74,24.36,0.3908,6.588
0,14:00:29,23436.34,1609.59,,316.74,24.36,0.3908,6.588
0,14:00:31,23436.34,1609.59,,316.74,24.36,0.3908,6.588
0,14:00:34,23436.36,1609.69,,316.74,24.36,0.3908,6.588
0,14:00:36,23436.34,1609.62,,316.74,24.36,0.3908,6.588
0,14:00:38,23436.36,1609.7,,316.75,24.36,0.3908,6.588
0,14:00:41,23436.64,1609.64,,316.75,24.36,0.3908,6.589
0,14:00:43,23436.64,1609.69,,316.74,24.36,0.3908,6.589
0,14:00:45,23439.01,1609.7,,316.74,24.36,0.3908,6.589
0,14:00:49,23439.01,1609.64,,316.75,24.36,0.3908,6.589
0,14:00:51,23439.01,1609.59,,316.74,24.36,0.3908,6.589
0,14:00:53,23439.01,1609.72,,316.75,24.36,0.3908,6.589
0,14:00:56,23439.21,1609.59,,316.75,24.36,0.3908,6.589
0,14:00:58,23439.07,1609.73,,316.75,24.36,0.3908,6.589
0,14:01:00,23439.12,1609.73,,316.75,24.36,0.3908,6.589
0,14:01:03,23439.01,1609.69,,316.76,24.37,0.3908,6.589
0,14:01:05,23439.07,1609.69,,316.76,24.37,0.3908,6.589
0,14:01:07,23439.81,1609.73,,316.76,24.37,0.3908,6.589
0,14:01:09,23439.07,1609.69,,316.76,24.37,0.3908,6.589
0,14:01:12,23442.48,1609.69,,316.76,24.37,0.3908,6.589
0,14:01:14,23442.89,1609.87,,316.76,24.37,0.3909,6.589
0,14:01:16,23442.4,1609.92,,317.07,24.37,0.3908,6.589
0,14:01:19,23442.48,1609.92,,317.07,24.37,0.3908,6.589
0,14:01:21,23443.18,1609.89,,317.23,24.37,0.3909,6.589
0,14:01:23,23443.09,1610,,317.15,24.37,0.3909,6.589
0,14:01:25,23442.89,1610.07,,317.07,24.36,0.3909,6.589
0,14:01:28,23442.89,1609.74,,317.15,24.36,0.3909,6.59
0,14:01:30,23443.09,1609.74,,317.15,24.36,0.3909,6.59
0,14:01:32,23444.03,1609.8,,317.15,24.36,0.3909,6.59
0,14:01:35,23444.06,1609.77,,317.15,24.36,0.3909,6.59
0,14:01:37,23444.21,1609.77,,317.16,24.36,0.3908,6.59
0,14:01:39,23444.21,1609.74,,317.17,24.36,0.3908,6.59
0,14:01:42,23444.65,1609.76,,317.25,24.37,0.3909,6.59
0,14:01:44,23444.41,1609.88,,317.25,24.37,0.3908,6.59
0,14:01:46,23445.8,1609.48,,317.17,24.37,0.3908,6.59
0,14:01:48,23445.4,1609.38,,317.18,24.37,0.3908,6.587
0,14:01:51,23442.36,1609.88,,317.18,24.35,0.3908,6.59
0,14:01:53,23442.31,1609.33,,317.18,24.37,0.3908,6.587
0,14:01:55,23445.45,1609.48,,317.18,24.35,0.3908,6.587
0,14:01:58,23441.16,1609.33,,317.18,24.35,0.3908,6.587
0,14:02:00,23441.16,1609.31,,317.18,24.35,0.3908,6.587
0,14:02:02,23441.16,1609.03,,317.17,24.35,0.3908,6.587
0,14:02:05,23438,1609.05,,317.17,24.35,0.3908,6.587
0,14:02:09,23438.06,1609.05,,317.17,24.35,0.3908,6.587
0,14:02:11,23438,1609.05,,317.17,24.35,0.3908,6.587
0,14:02:14,23438.04,1608.8,,317.17,24.35,0.3908,6.587
0,14:02:16,23438.07,1608.7,,317.17,24.35,0.3908,6.587
0,14:02:19,23438.07,1608.65,,317.17,24.35,0.3908,6.587
0,14:02:22,23430.31,1608.65,,317.2,24.35,0.3905,6.587
0,14:02:24,23430.24,1608.66,,317.17,24.35,0.3905,6.587
0,14:02:27,23430.65,1608.66,,317.21,24.34,0.3905,6.586
0,14:02:29,23431.07,1608.65,,317.21,24.35,0.3905,6.586
0,14:02:32,23428.58,1608.62,,317.21,24.34,0.3904,6.586
0,14:02:34,23428.58,1608.63,,317.21,24.34,0.3904,6.586
0,14:02:36,23431.39,1608.62,,317.21,24.34,0.3904,6.586
0,14:02:39,23429.34,1608.62,,317.28,24.34,0.3904,6.586
0,14:02:41,23429.34,1608.46,,317.28,24.34,0.3904,6.585
0,14:02:43,23428.24,1608.43,,317.2,24.34,0.3904,6.586
0,14:02:47,23425.98,1608.17,,317.2,24.34,0.3904,6.585
0,14:02:49,23425.76,1608.17,,317.21,24.34,0.3904,6.586
0,14:02:51,23427.88,1608.17,,317.21,24.34,0.3904,6.585
0,14:02:53,23425.75,1608.17,,317.21,24.34,0.3904,6.586
0,14:02:56,23425.06,1608.09,,317.21,24.34,0.3904,6.586
0,14:02:58,23425.87,1608.04,,317.21,24.34,0.3904,6.586
0,14:03:00,23425.57,1608.04,,317.21,24.34,0.3904,6.586
0,14:03:03,23425.87,1608.09,,317.21,24.33,0.3904,6.586
0,14:03:05,23425.78,1608.04,,317.2,24.33,0.3904,6.586
0,14:03:07,23426.04,1608.22,,317.12,24.33,0.3904,6.586
0,14:03:10,23425.74,1608.23,,317.21,24.33,0.3904,6.586
0,14:03:12,23423.08,1608.12,,317.21,24.33,0.3904,6.586
0,14:03:14,23424.15,1608.12,,317.21,24.33,0.3904,6.586
0,14:03:16,23424.78,1608.23,,317.21,24.33,0.3904,6.586
0,14:03:19,23423.08,1608.11,,317.2,24.33,0.3904,6.586
0,14:03:21,23423.92,1608.14,,317.28,24.33,0.3904,6.586
0,14:03:23,23423.92,1608.14,,317.28,24.33,0.3904,6.588
0,14:03:26,23429.82,1608.21,,317.28,24.34,0.3904,6.588
0,14:03:28,23423.92,1608.26,,317.31,24.34,0.3904,6.588
0,14:03:30,23423.92,1609.08,,317.31,24.34,0.3904,6.588
0,14:03:32,23429.54,1609.08,,317.2,24.34,0.3904,6.588
0,14:03:35,23431.57,1609.08,,317.31,24.34,0.3904,6.587
0,14:03:37,23430.75,1609.08,,317.31,24.34,0.3904,6.587
0,14:03:39,23431.46,1609.08,,317.31,24.34,0.3904,6.587
0,14:03:41,23432.13,1609.08,,317.31,24.34,0.3906,6.587
0,14:03:44,23431.57,1609.49,,317.31,24.34,0.3904,6.587
0,14:03:46,23431.86,1609.08,,317.32,24.34,0.3906,6.587
0,14:03:49,23431.46,1609.08,,317.31,24.34,0.3906,6.586
0,14:03:51,23436.59,1609.49,,317.32,24.34,0.3906,6.586
0,14:03:53,23436.94,1609.49,,317.34,24.34,0.3907,6.586
0,14:03:55,23434.91,1609.49,,317.34,24.34,0.3907,6.586
0,14:03:58,23437.4,1609.51,,317.35,24.34,0.3906,6.586
0,14:04:00,23437.67,1609.49,,317.33,24.34,0.3907,6.586
0,14:04:02,23436.72,1609.49,,317.37,24.34,0.3907,6.586
0,14:04:04,23436.72,1609.5,,317.37,24.34,0.3907,6.586
0,14:04:07,23436.29,1609.51,,317.37,24.34,0.3907,6.587
0,14:04:09,23435.73,1609.42,,317.37,24.34,0.3907,6.586
0,14:04:11,23436.72,1609.38,,317.37,24.34,0.3907,6.586
0,14:04:13,23437.25,1609.36,,317.36,24.34,0.3906,6.587
0,14:04:16,23434.46,1609.36,,317.37,24.34,0.3906,6.587
0,14:04:18,23436.12,1609.01,,317.37,24.34,0.3906,6.587
0,14:04:20,23434.63,1609.01,,317.37,24.34,0.3906,6.587
0,14:04:23,23429.32,1609.36,,317.36,24.34,0.3906,6.587
0,14:04:25,23429.91,1609.01,,317.36,24.34,0.3906,6.585
0,14:04:27,23429.32,1609.19,,317.37,24.32,0.3906,6.585
0,14:04:29,23429.91,1609.17,,317.37,24.32,0.3906,6.585
0,14:04:32,23429.43,1609.19,,317.37,24.32,0.3906,6.587
0,14:04:34,23430.22,1609.19,,317.75,24.32,0.3906,6.585
0,14:04:36,23428.93,1609.17,,317.74,24.32,0.3906,6.585
0,14:04:39,23428.93,1609.17,,317.66,24.32,0.3906,6.585
0,14:04:41,23428.93,1609.17,,317.66,24.32,0.3906,6.585
0,14:04:43,23428.93,1609.08,,317.68,24.32,0.3905,6.585
0,14:04:46,23426.81,1609.08,,317.75,24.34,0.3905,6.585
0,14:04:49,23426.76,1609.02,,317.69,24.32,0.3906,6.585
0,14:04:51,23428.54,1609.03,,317.77,24.34,0.3905,6.585
0,14:04:53,23428.45,1608.76,,317.7,24.34,0.3905,6.585
0,14:04:55,23425.48,1608.76,,317.77,24.34,0.3905,6.585
0,14:04:58,23425.48,1608.8,,317.7,24.34,0.3905,6.585
0,14:05:00,23425.48,1608.74,,317.69,24.34,0.3905,6.585
0,14:05:02,23425.12,1608.76,,317.69,24.34,0.3905,6.585
0,14:05:05,23425.12,1608.74,,317.69,24.34,0.3905,6.585
0,14:05:07,23426.17,1608.91,,317.7,24.34,0.3905,6.585
0,14:05:09,23425.46,1608.91,,317.69,24.34,0.3905,6.585
0,14:05:11,23425.1,1608.88,,317.7,24.34,0.3905,6.585
0,14:05:14,23425.1,1608.88,,317.69,24.34,0.3905,6.585
0,14:05:16,23426.35,1608.88,,317.77,24.33,0.3905,6.585
0,14:05:18,23426.26,1608.88,,317.7,24.33,0.3905,6.585
0,14:05:20,23426.26,1608.96,,317.84,24.33,0.3905,6.585
0,14:05:23,23426.09,1608.88,,317.7,24.33,0.3905,6.585
0,14:05:25,23426.09,1608.96,,317.7,24.34,0.3905,6.585
